Exp2  arms=['A1']  order=main  seeds=[3]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative head=accumulating beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=3
    ── stage 0: tcga_lung
      epoch 1/5 n=765 mean_loss=0.6543
      epoch 2/5 n=765 mean_loss=0.4125
      epoch 3/5 n=765 mean_loss=0.3904
      epoch 4/5 n=765 mean_loss=0.4207
      epoch 5/5 n=765 mean_loss=0.3392
       eval tcga_lung  class-IL=0.8879 task-IL=0.8879
    ── stage 1: tcga_brca
      epoch 1/5 n=763 mean_loss=0.4537
      epoch 2/5 n=763 mean_loss=0.3854
      epoch 3/5 n=763 mean_loss=0.3375
      epoch 4/5 n=763 mean_loss=0.3332
      epoch 5/5 n=763 mean_loss=0.3904
       eval tcga_lung  class-IL=0.2336 task-IL=0.7383
       eval tcga_brca  class-IL=0.8958 task-IL=0.9062
    ── stage 2: tcga_rcc
      epoch 1/5 n=617 mean_loss=0.3017
      epoch 2/5 n=617 mean_loss=0.4779
      epoch 3/5 n=617 mean_loss=0.3899
      epoch 4/5 n=617 mean_loss=0.5653
      epoch 5/5 n=617 mean_loss=0.4045
       eval tcga_lung  class-IL=0.3271 task-IL=0.8411
       eval tcga_brca  class-IL=0.2812 task-IL=0.5729
       eval tcga_rcc   class-IL=0.9342 task-IL=0.9342
    ── stage 3: tcga_esca
      epoch 1/5 n=120 mean_loss=1.1052
      epoch 2/5 n=120 mean_loss=0.4747
      epoch 3/5 n=120 mean_loss=0.5061
      epoch 4/5 n=120 mean_loss=0.4037
      epoch 5/5 n=120 mean_loss=0.2532
       eval tcga_lung  class-IL=0.5140 task-IL=0.8224
       eval tcga_brca  class-IL=0.6875 task-IL=0.8854
       eval tcga_rcc   class-IL=0.4605 task-IL=0.7763
       eval tcga_esca  class-IL=1.0000 task-IL=1.0000

→ outputs/exp3/sota_acc/EXP2.md
