Exp2  arms=['A1']  order=main  seeds=[5]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative head=accumulating beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=5
    ── stage 0: tcga_lung
      epoch 1/5 n=764 mean_loss=0.6998
      epoch 2/5 n=764 mean_loss=0.4177
      epoch 3/5 n=764 mean_loss=0.3448
      epoch 4/5 n=764 mean_loss=0.3305
      epoch 5/5 n=764 mean_loss=0.2960
       eval tcga_lung  class-IL=0.9062 task-IL=0.9062
    ── stage 1: tcga_brca
      epoch 1/5 n=763 mean_loss=0.4559
      epoch 2/5 n=763 mean_loss=0.5407
      epoch 3/5 n=763 mean_loss=0.4583
      epoch 4/5 n=763 mean_loss=0.3580
      epoch 5/5 n=763 mean_loss=0.3933
       eval tcga_lung  class-IL=0.1875 task-IL=0.7708
       eval tcga_brca  class-IL=0.8830 task-IL=0.8936
    ── stage 2: tcga_rcc
      epoch 1/5 n=619 mean_loss=0.5042
      epoch 2/5 n=619 mean_loss=0.4189
      epoch 3/5 n=619 mean_loss=0.3508
      epoch 4/5 n=619 mean_loss=0.3716
      epoch 5/5 n=619 mean_loss=0.3737
       eval tcga_lung  class-IL=0.2812 task-IL=0.5729
       eval tcga_brca  class-IL=0.2021 task-IL=0.4149
       eval tcga_rcc   class-IL=0.9054 task-IL=0.9189
    ── stage 3: tcga_esca
      epoch 1/5 n=120 mean_loss=1.5885
      epoch 2/5 n=120 mean_loss=0.5358
      epoch 3/5 n=120 mean_loss=0.5311
      epoch 4/5 n=120 mean_loss=0.5109
      epoch 5/5 n=120 mean_loss=0.3437
       eval tcga_lung  class-IL=0.1875 task-IL=0.6562
       eval tcga_brca  class-IL=0.3404 task-IL=0.6383
       eval tcga_rcc   class-IL=0.0676 task-IL=0.6892
       eval tcga_esca  class-IL=1.0000 task-IL=1.0000

→ outputs/exp3/sota_acc/EXP2.md
