Exp2  arms=['A1']  order=main  seeds=[4]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative head=accumulating beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=4
    ── stage 0: tcga_lung
      epoch 1/5 n=756 mean_loss=0.5246
      epoch 2/5 n=756 mean_loss=0.3414
      epoch 3/5 n=756 mean_loss=0.3661
      epoch 4/5 n=756 mean_loss=0.3419
      epoch 5/5 n=756 mean_loss=0.4449
       eval tcga_lung  class-IL=0.8929 task-IL=0.8929
    ── stage 1: tcga_brca
      epoch 1/5 n=762 mean_loss=0.4458
      epoch 2/5 n=762 mean_loss=0.3972
      epoch 3/5 n=762 mean_loss=0.3595
      epoch 4/5 n=762 mean_loss=0.3754
      epoch 5/5 n=762 mean_loss=0.3210
       eval tcga_lung  class-IL=0.2411 task-IL=0.8036
       eval tcga_brca  class-IL=0.9255 task-IL=0.9362
    ── stage 2: tcga_rcc
      epoch 1/5 n=613 mean_loss=0.3735
      epoch 2/5 n=613 mean_loss=0.3292
      epoch 3/5 n=613 mean_loss=0.4541
      epoch 4/5 n=613 mean_loss=0.4487
      epoch 5/5 n=613 mean_loss=0.4237
       eval tcga_lung  class-IL=0.4554 task-IL=0.6339
       eval tcga_brca  class-IL=0.5638 task-IL=0.7021
       eval tcga_rcc   class-IL=0.9231 task-IL=0.9231
    ── stage 3: tcga_esca
      epoch 1/5 n=119 mean_loss=1.4758
      epoch 2/5 n=119 mean_loss=0.5883
      epoch 3/5 n=119 mean_loss=0.3700
      epoch 4/5 n=119 mean_loss=0.4743
      epoch 5/5 n=119 mean_loss=0.6170
       eval tcga_lung  class-IL=0.1786 task-IL=0.4911
       eval tcga_brca  class-IL=0.7234 task-IL=0.9255
       eval tcga_rcc   class-IL=0.4359 task-IL=0.7051
       eval tcga_esca  class-IL=1.0000 task-IL=1.0000

→ outputs/exp3/sota_acc/EXP2.md
