Exp2  arms=['A1']  order=main  seeds=[7]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative head=accumulating beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=7
    ── stage 0: tcga_lung
      epoch 1/5 n=774 mean_loss=0.7455
      epoch 2/5 n=774 mean_loss=0.3666
      epoch 3/5 n=774 mean_loss=0.3710
      epoch 4/5 n=774 mean_loss=0.3369
      epoch 5/5 n=774 mean_loss=0.4146
       eval tcga_lung  class-IL=0.9588 task-IL=0.9588
    ── stage 1: tcga_brca
      epoch 1/5 n=760 mean_loss=0.5518
      epoch 2/5 n=760 mean_loss=0.3505
      epoch 3/5 n=760 mean_loss=0.3825
      epoch 4/5 n=760 mean_loss=0.4237
      epoch 5/5 n=760 mean_loss=0.2988
       eval tcga_lung  class-IL=0.2887 task-IL=0.8660
       eval tcga_brca  class-IL=0.8229 task-IL=0.8229
    ── stage 2: tcga_rcc
      epoch 1/5 n=615 mean_loss=0.3191
      epoch 2/5 n=615 mean_loss=0.3477
      epoch 3/5 n=615 mean_loss=0.5994
      epoch 4/5 n=615 mean_loss=0.4182
      epoch 5/5 n=615 mean_loss=0.3155
       eval tcga_lung  class-IL=0.2577 task-IL=0.7835
       eval tcga_brca  class-IL=0.1979 task-IL=0.3854
       eval tcga_rcc   class-IL=0.9200 task-IL=0.9200
    ── stage 3: tcga_esca
      epoch 1/5 n=120 mean_loss=1.1512
      epoch 2/5 n=120 mean_loss=0.7084
      epoch 3/5 n=120 mean_loss=0.5873
      epoch 4/5 n=120 mean_loss=0.5657
      epoch 5/5 n=120 mean_loss=0.6157
       eval tcga_lung  class-IL=0.3402 task-IL=0.6907
       eval tcga_brca  class-IL=0.6562 task-IL=0.8854
       eval tcga_rcc   class-IL=0.8000 task-IL=0.8133
       eval tcga_esca  class-IL=0.9333 task-IL=0.9333

→ outputs/exp3/sota_acc/EXP2.md
