Exp2  arms=['A1']  order=main  seeds=[10]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative head=accumulating beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=10
    ── stage 0: tcga_lung
      epoch 1/5 n=771 mean_loss=0.6435
      epoch 2/5 n=771 mean_loss=0.4221
      epoch 3/5 n=771 mean_loss=0.4358
      epoch 4/5 n=771 mean_loss=0.4124
      epoch 5/5 n=771 mean_loss=0.3363
       eval tcga_lung  class-IL=0.9000 task-IL=0.9000
    ── stage 1: tcga_brca
      epoch 1/5 n=763 mean_loss=0.4584
      epoch 2/5 n=763 mean_loss=0.3705
      epoch 3/5 n=763 mean_loss=0.3916
      epoch 4/5 n=763 mean_loss=0.3620
      epoch 5/5 n=763 mean_loss=0.3845
       eval tcga_lung  class-IL=0.3556 task-IL=0.7556
       eval tcga_brca  class-IL=0.8681 task-IL=0.8681
    ── stage 2: tcga_rcc
      epoch 1/5 n=618 mean_loss=0.6599
      epoch 2/5 n=618 mean_loss=0.3741
      epoch 3/5 n=618 mean_loss=0.2745
      epoch 4/5 n=618 mean_loss=0.3584
      epoch 5/5 n=618 mean_loss=0.3669
       eval tcga_lung  class-IL=0.3778 task-IL=0.7667
       eval tcga_brca  class-IL=0.6264 task-IL=0.7143
       eval tcga_rcc   class-IL=0.9324 task-IL=0.9324
    ── stage 3: tcga_esca
      epoch 1/5 n=121 mean_loss=0.9272
      epoch 2/5 n=121 mean_loss=0.4309
      epoch 3/5 n=121 mean_loss=0.4626
      epoch 4/5 n=121 mean_loss=0.2840
      epoch 5/5 n=121 mean_loss=0.2245
       eval tcga_lung  class-IL=0.2444 task-IL=0.7000
       eval tcga_brca  class-IL=0.4286 task-IL=0.6484
       eval tcga_rcc   class-IL=0.5405 task-IL=0.7297
       eval tcga_esca  class-IL=1.0000 task-IL=1.0000

→ outputs/exp3/sota_acc/EXP2.md
