Exp2  arms=['A1']  order=reverse  seeds=[9]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative head=accumulating beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=9
    ── stage 0: tcga_esca
      epoch 1/5 n=121 mean_loss=0.3538
      epoch 2/5 n=121 mean_loss=0.1302
      epoch 3/5 n=121 mean_loss=0.0844
      epoch 4/5 n=121 mean_loss=0.1186
      epoch 5/5 n=121 mean_loss=0.2411
       eval tcga_esca  class-IL=1.0000 task-IL=1.0000
    ── stage 1: tcga_rcc
      epoch 1/5 n=612 mean_loss=0.2552
      epoch 2/5 n=612 mean_loss=0.2528
      epoch 3/5 n=612 mean_loss=0.4529
      epoch 4/5 n=612 mean_loss=0.3322
      epoch 5/5 n=612 mean_loss=0.1767
       eval tcga_esca  class-IL=0.0714 task-IL=0.4286
       eval tcga_rcc   class-IL=0.9136 task-IL=0.9136
    ── stage 2: tcga_brca
      epoch 1/5 n=760 mean_loss=0.4771
      epoch 2/5 n=760 mean_loss=0.3509
      epoch 3/5 n=760 mean_loss=0.3758
      epoch 4/5 n=760 mean_loss=0.3801
      epoch 5/5 n=760 mean_loss=0.3046
       eval tcga_esca  class-IL=0.0714 task-IL=0.6429
       eval tcga_rcc   class-IL=0.2593 task-IL=0.7160
       eval tcga_brca  class-IL=0.8485 task-IL=0.8485
    ── stage 3: tcga_lung
      epoch 1/5 n=762 mean_loss=0.7223
      epoch 2/5 n=762 mean_loss=0.5324
      epoch 3/5 n=762 mean_loss=0.4357
      epoch 4/5 n=762 mean_loss=0.4442
      epoch 5/5 n=762 mean_loss=0.4053
       eval tcga_esca  class-IL=0.2143 task-IL=0.7857
       eval tcga_rcc   class-IL=0.3086 task-IL=0.7531
       eval tcga_brca  class-IL=0.3333 task-IL=0.8586
       eval tcga_lung  class-IL=0.9022 task-IL=0.9022

→ outputs/exp3/sota_acc/EXP2.md
