Exp2  arms=['A1']  order=main  seeds=[8]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=8
    ── stage 0: tcga_lung
      epoch 1/5 n=777 mean_loss=0.6358
      epoch 2/5 n=777 mean_loss=0.4455
      epoch 3/5 n=777 mean_loss=0.3644
      epoch 4/5 n=777 mean_loss=0.3319
      epoch 5/5 n=777 mean_loss=0.3672
       eval tcga_lung  class-IL=0.8387 task-IL=0.8495
    ── stage 1: tcga_brca
      epoch 1/5 n=762 mean_loss=0.5263
      epoch 2/5 n=762 mean_loss=0.4353
      epoch 3/5 n=762 mean_loss=0.3767
      epoch 4/5 n=762 mean_loss=0.3355
      epoch 5/5 n=762 mean_loss=0.3487
       eval tcga_lung  class-IL=0.1075 task-IL=0.6882
       eval tcga_brca  class-IL=0.8438 task-IL=0.8438
    ── stage 2: tcga_rcc
      epoch 1/5 n=617 mean_loss=0.4563
      epoch 2/5 n=617 mean_loss=0.2932
      epoch 3/5 n=617 mean_loss=0.4477
      epoch 4/5 n=617 mean_loss=0.4310
      epoch 5/5 n=617 mean_loss=0.4121
       eval tcga_lung  class-IL=0.2151 task-IL=0.7312
       eval tcga_brca  class-IL=0.3333 task-IL=0.7812
       eval tcga_rcc   class-IL=0.9211 task-IL=0.9211
    ── stage 3: tcga_esca
      epoch 1/5 n=120 mean_loss=1.5638
      epoch 2/5 n=120 mean_loss=0.4554
      epoch 3/5 n=120 mean_loss=0.2800
      epoch 4/5 n=120 mean_loss=0.4369
      epoch 5/5 n=120 mean_loss=0.3485
       eval tcga_lung  class-IL=0.1720 task-IL=0.6129
       eval tcga_brca  class-IL=0.2083 task-IL=0.4688
       eval tcga_rcc   class-IL=0.7368 task-IL=0.8289
       eval tcga_esca  class-IL=0.9333 task-IL=0.9333

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
