Exp2  arms=['A1']  order=main  seeds=[4]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=4
    ── stage 0: tcga_lung
      epoch 1/5 n=756 mean_loss=0.6228
      epoch 2/5 n=756 mean_loss=0.3996
      epoch 3/5 n=756 mean_loss=0.4427
      epoch 4/5 n=756 mean_loss=0.4145
      epoch 5/5 n=756 mean_loss=0.3706
       eval tcga_lung  class-IL=0.8304 task-IL=0.8304
    ── stage 1: tcga_brca
      epoch 1/5 n=762 mean_loss=0.5238
      epoch 2/5 n=762 mean_loss=0.4300
      epoch 3/5 n=762 mean_loss=0.5074
      epoch 4/5 n=762 mean_loss=0.4235
      epoch 5/5 n=762 mean_loss=0.3401
       eval tcga_lung  class-IL=0.3125 task-IL=0.6429
       eval tcga_brca  class-IL=0.8723 task-IL=0.8936
    ── stage 2: tcga_rcc
      epoch 1/5 n=613 mean_loss=0.4550
      epoch 2/5 n=613 mean_loss=0.5288
      epoch 3/5 n=613 mean_loss=0.3503
      epoch 4/5 n=613 mean_loss=0.4538
      epoch 5/5 n=613 mean_loss=0.3690
       eval tcga_lung  class-IL=0.3839 task-IL=0.5982
       eval tcga_brca  class-IL=0.3085 task-IL=0.4468
       eval tcga_rcc   class-IL=0.8590 task-IL=0.8718
    ── stage 3: tcga_esca
      epoch 1/5 n=119 mean_loss=1.7510
      epoch 2/5 n=119 mean_loss=0.5569
      epoch 3/5 n=119 mean_loss=0.5282
      epoch 4/5 n=119 mean_loss=0.6060
      epoch 5/5 n=119 mean_loss=0.5922
       eval tcga_lung  class-IL=0.2054 task-IL=0.6071
       eval tcga_brca  class-IL=0.3936 task-IL=0.8404
       eval tcga_rcc   class-IL=0.8462 task-IL=0.8462
       eval tcga_esca  class-IL=1.0000 task-IL=1.0000

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
