Exp2  arms=['A1']  order=reverse  seeds=[2]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=2
    ── stage 0: tcga_esca
      epoch 1/5 n=120 mean_loss=0.7927
      epoch 2/5 n=120 mean_loss=0.3744
      epoch 3/5 n=120 mean_loss=0.1979
      epoch 4/5 n=120 mean_loss=0.3572
      epoch 5/5 n=120 mean_loss=0.4633
       eval tcga_esca  class-IL=0.9333 task-IL=0.9333
    ── stage 1: tcga_rcc
      epoch 1/5 n=613 mean_loss=0.4612
      epoch 2/5 n=613 mean_loss=0.3099
      epoch 3/5 n=613 mean_loss=0.4279
      epoch 4/5 n=613 mean_loss=0.4349
      epoch 5/5 n=613 mean_loss=0.3886
       eval tcga_esca  class-IL=0.3333 task-IL=0.8000
       eval tcga_rcc   class-IL=1.0000 task-IL=1.0000
    ── stage 2: tcga_brca
      epoch 1/5 n=764 mean_loss=0.6918
      epoch 2/5 n=764 mean_loss=0.4401
      epoch 3/5 n=764 mean_loss=0.4421
      epoch 4/5 n=764 mean_loss=0.3372
      epoch 5/5 n=764 mean_loss=0.4240
       eval tcga_esca  class-IL=0.1333 task-IL=0.8000
       eval tcga_rcc   class-IL=0.3704 task-IL=0.6173
       eval tcga_brca  class-IL=0.9158 task-IL=0.9158
    ── stage 3: tcga_lung
      epoch 1/5 n=761 mean_loss=0.7452
      epoch 2/5 n=761 mean_loss=0.5626
      epoch 3/5 n=761 mean_loss=0.4951
      epoch 4/5 n=761 mean_loss=0.4470
      epoch 5/5 n=761 mean_loss=0.3725
       eval tcga_esca  class-IL=0.0667 task-IL=0.8000
       eval tcga_rcc   class-IL=0.0864 task-IL=0.7160
       eval tcga_brca  class-IL=0.3789 task-IL=0.8842
       eval tcga_lung  class-IL=0.9368 task-IL=0.9368

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
