Exp2  arms=['A1']  order=main  seeds=[3]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=3
    ── stage 0: tcga_lung
      epoch 1/5 n=765 mean_loss=0.6589
      epoch 2/5 n=765 mean_loss=0.5336
      epoch 3/5 n=765 mean_loss=0.4034
      epoch 4/5 n=765 mean_loss=0.4225
      epoch 5/5 n=765 mean_loss=0.3635
       eval tcga_lung  class-IL=0.8505 task-IL=0.8879
    ── stage 1: tcga_brca
      epoch 1/5 n=763 mean_loss=0.5187
      epoch 2/5 n=763 mean_loss=0.4772
      epoch 3/5 n=763 mean_loss=0.4096
      epoch 4/5 n=763 mean_loss=0.3514
      epoch 5/5 n=763 mean_loss=0.4118
       eval tcga_lung  class-IL=0.1402 task-IL=0.6449
       eval tcga_brca  class-IL=0.8958 task-IL=0.8958
    ── stage 2: tcga_rcc
      epoch 1/5 n=617 mean_loss=0.5714
      epoch 2/5 n=617 mean_loss=0.3537
      epoch 3/5 n=617 mean_loss=0.2820
      epoch 4/5 n=617 mean_loss=0.3348
      epoch 5/5 n=617 mean_loss=0.3091
       eval tcga_lung  class-IL=0.4766 task-IL=0.8411
       eval tcga_brca  class-IL=0.4688 task-IL=0.6562
       eval tcga_rcc   class-IL=0.9211 task-IL=0.9211
    ── stage 3: tcga_esca
      epoch 1/5 n=120 mean_loss=0.9558
      epoch 2/5 n=120 mean_loss=0.6361
      epoch 3/5 n=120 mean_loss=0.5679
      epoch 4/5 n=120 mean_loss=0.4691
      epoch 5/5 n=120 mean_loss=0.3808
       eval tcga_lung  class-IL=0.2243 task-IL=0.6075
       eval tcga_brca  class-IL=0.2604 task-IL=0.8438
       eval tcga_rcc   class-IL=0.7632 task-IL=0.8553
       eval tcga_esca  class-IL=1.0000 task-IL=1.0000

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
