Exp2  arms=['A1']  order=reverse  seeds=[6]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=6
    ── stage 0: tcga_esca
      epoch 1/5 n=119 mean_loss=0.6428
      epoch 2/5 n=119 mean_loss=0.3466
      epoch 3/5 n=119 mean_loss=0.2549
      epoch 4/5 n=119 mean_loss=0.2360
      epoch 5/5 n=119 mean_loss=0.2132
       eval tcga_esca  class-IL=0.8125 task-IL=0.9375
    ── stage 1: tcga_rcc
      epoch 1/5 n=616 mean_loss=0.3610
      epoch 2/5 n=616 mean_loss=0.4420
      epoch 3/5 n=616 mean_loss=0.3680
      epoch 4/5 n=616 mean_loss=0.2594
      epoch 5/5 n=616 mean_loss=0.2849
       eval tcga_esca  class-IL=0.3750 task-IL=0.4375
       eval tcga_rcc   class-IL=0.9481 task-IL=0.9481
    ── stage 2: tcga_brca
      epoch 1/5 n=758 mean_loss=0.5680
      epoch 2/5 n=758 mean_loss=0.4674
      epoch 3/5 n=758 mean_loss=0.3510
      epoch 4/5 n=758 mean_loss=0.5043
      epoch 5/5 n=758 mean_loss=0.3146
       eval tcga_esca  class-IL=0.0625 task-IL=0.6875
       eval tcga_rcc   class-IL=0.1558 task-IL=0.7792
       eval tcga_brca  class-IL=0.8980 task-IL=0.8980
    ── stage 3: tcga_lung
      epoch 1/5 n=759 mean_loss=0.7726
      epoch 2/5 n=759 mean_loss=0.5828
      epoch 3/5 n=759 mean_loss=0.4614
      epoch 4/5 n=759 mean_loss=0.3883
      epoch 5/5 n=759 mean_loss=0.3791
       eval tcga_esca  class-IL=0.1875 task-IL=0.6250
       eval tcga_rcc   class-IL=0.4805 task-IL=0.8052
       eval tcga_brca  class-IL=0.3061 task-IL=0.7959
       eval tcga_lung  class-IL=0.9659 task-IL=0.9659

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
