Exp2  arms=['A1']  order=reverse  seeds=[7]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=7
    ── stage 0: tcga_esca
      epoch 1/5 n=120 mean_loss=0.6626
      epoch 2/5 n=120 mean_loss=0.2892
      epoch 3/5 n=120 mean_loss=0.2290
      epoch 4/5 n=120 mean_loss=0.1772
      epoch 5/5 n=120 mean_loss=0.1752
       eval tcga_esca  class-IL=0.9333 task-IL=0.9333
    ── stage 1: tcga_rcc
      epoch 1/5 n=615 mean_loss=0.3824
      epoch 2/5 n=615 mean_loss=0.2272
      epoch 3/5 n=615 mean_loss=0.2958
      epoch 4/5 n=615 mean_loss=0.2393
      epoch 5/5 n=615 mean_loss=0.1947
       eval tcga_esca  class-IL=0.2000 task-IL=0.4667
       eval tcga_rcc   class-IL=0.9467 task-IL=0.9467
    ── stage 2: tcga_brca
      epoch 1/5 n=760 mean_loss=0.5358
      epoch 2/5 n=760 mean_loss=0.4310
      epoch 3/5 n=760 mean_loss=0.3839
      epoch 4/5 n=760 mean_loss=0.4217
      epoch 5/5 n=760 mean_loss=0.3836
       eval tcga_esca  class-IL=0.2000 task-IL=0.7333
       eval tcga_rcc   class-IL=0.2933 task-IL=0.5733
       eval tcga_brca  class-IL=0.8333 task-IL=0.8542
    ── stage 3: tcga_lung
      epoch 1/5 n=774 mean_loss=0.8388
      epoch 2/5 n=774 mean_loss=0.4267
      epoch 3/5 n=774 mean_loss=0.4819
      epoch 4/5 n=774 mean_loss=0.3418
      epoch 5/5 n=774 mean_loss=0.3636
       eval tcga_esca  class-IL=0.3333 task-IL=0.6667
       eval tcga_rcc   class-IL=0.1067 task-IL=0.5200
       eval tcga_brca  class-IL=0.4479 task-IL=0.8542
       eval tcga_lung  class-IL=0.9381 task-IL=0.9381

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
