Exp2  arms=['A1']  order=reverse  seeds=[1]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=1
    ── stage 0: tcga_esca
      epoch 1/5 n=120 mean_loss=0.3498
      epoch 2/5 n=120 mean_loss=0.2847
      epoch 3/5 n=120 mean_loss=0.2418
      epoch 4/5 n=120 mean_loss=0.1413
      epoch 5/5 n=120 mean_loss=0.0573
       eval tcga_esca  class-IL=0.8000 task-IL=0.8667
    ── stage 1: tcga_rcc
      epoch 1/5 n=616 mean_loss=0.3990
      epoch 2/5 n=616 mean_loss=0.3556
      epoch 3/5 n=616 mean_loss=0.3213
      epoch 4/5 n=616 mean_loss=0.2967
      epoch 5/5 n=616 mean_loss=0.4251
       eval tcga_esca  class-IL=0.3333 task-IL=0.8667
       eval tcga_rcc   class-IL=0.9211 task-IL=0.9211
    ── stage 2: tcga_brca
      epoch 1/5 n=763 mean_loss=0.5584
      epoch 2/5 n=763 mean_loss=0.4259
      epoch 3/5 n=763 mean_loss=0.3880
      epoch 4/5 n=763 mean_loss=0.3436
      epoch 5/5 n=763 mean_loss=0.3712
       eval tcga_esca  class-IL=0.0667 task-IL=0.5333
       eval tcga_rcc   class-IL=0.3684 task-IL=0.8816
       eval tcga_brca  class-IL=0.9140 task-IL=0.9140
    ── stage 3: tcga_lung
      epoch 1/5 n=774 mean_loss=0.8758
      epoch 2/5 n=774 mean_loss=0.5730
      epoch 3/5 n=774 mean_loss=0.4898
      epoch 4/5 n=774 mean_loss=0.4355
      epoch 5/5 n=774 mean_loss=0.3913
       eval tcga_esca  class-IL=0.2667 task-IL=0.7333
       eval tcga_rcc   class-IL=0.2105 task-IL=0.8289
       eval tcga_brca  class-IL=0.5376 task-IL=0.8817
       eval tcga_lung  class-IL=0.8421 task-IL=0.8421

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
