Exp2  arms=['A1']  order=reverse  seeds=[3]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=3
    ── stage 0: tcga_esca
      epoch 1/5 n=120 mean_loss=0.5264
      epoch 2/5 n=120 mean_loss=0.4311
      epoch 3/5 n=120 mean_loss=0.2197
      epoch 4/5 n=120 mean_loss=0.0670
      epoch 5/5 n=120 mean_loss=0.1220
       eval tcga_esca  class-IL=0.9333 task-IL=1.0000
    ── stage 1: tcga_rcc
      epoch 1/5 n=617 mean_loss=0.4242
      epoch 2/5 n=617 mean_loss=0.2540
      epoch 3/5 n=617 mean_loss=0.3832
      epoch 4/5 n=617 mean_loss=0.3476
      epoch 5/5 n=617 mean_loss=0.2550
       eval tcga_esca  class-IL=0.2667 task-IL=0.6667
       eval tcga_rcc   class-IL=0.9605 task-IL=0.9605
    ── stage 2: tcga_brca
      epoch 1/5 n=763 mean_loss=0.5479
      epoch 2/5 n=763 mean_loss=0.4529
      epoch 3/5 n=763 mean_loss=0.4305
      epoch 4/5 n=763 mean_loss=0.3356
      epoch 5/5 n=763 mean_loss=0.3572
       eval tcga_esca  class-IL=0.2000 task-IL=0.7333
       eval tcga_rcc   class-IL=0.4079 task-IL=0.8421
       eval tcga_brca  class-IL=0.8958 task-IL=0.8958
    ── stage 3: tcga_lung
      epoch 1/5 n=765 mean_loss=0.6149
      epoch 2/5 n=765 mean_loss=0.4290
      epoch 3/5 n=765 mean_loss=0.4533
      epoch 4/5 n=765 mean_loss=0.4168
      epoch 5/5 n=765 mean_loss=0.4711
       eval tcga_esca  class-IL=0.2667 task-IL=0.9333
       eval tcga_rcc   class-IL=0.3947 task-IL=0.7237
       eval tcga_brca  class-IL=0.3854 task-IL=0.8750
       eval tcga_lung  class-IL=0.9065 task-IL=0.9065

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
