Exp2  arms=['A1']  order=reverse  seeds=[8]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=8
    ── stage 0: tcga_esca
      epoch 1/5 n=120 mean_loss=0.4508
      epoch 2/5 n=120 mean_loss=0.3535
      epoch 3/5 n=120 mean_loss=0.2722
      epoch 4/5 n=120 mean_loss=0.2943
      epoch 5/5 n=120 mean_loss=0.1837
       eval tcga_esca  class-IL=0.9333 task-IL=0.9333
    ── stage 1: tcga_rcc
      epoch 1/5 n=617 mean_loss=0.3799
      epoch 2/5 n=617 mean_loss=0.5944
      epoch 3/5 n=617 mean_loss=0.4257
      epoch 4/5 n=617 mean_loss=0.3936
      epoch 5/5 n=617 mean_loss=0.4314
       eval tcga_esca  class-IL=0.2667 task-IL=0.4000
       eval tcga_rcc   class-IL=0.8947 task-IL=0.8947
    ── stage 2: tcga_brca
      epoch 1/5 n=762 mean_loss=0.8377
      epoch 2/5 n=762 mean_loss=0.4607
      epoch 3/5 n=762 mean_loss=0.4187
      epoch 4/5 n=762 mean_loss=0.4629
      epoch 5/5 n=762 mean_loss=0.3643
       eval tcga_esca  class-IL=0.3333 task-IL=0.6000
       eval tcga_rcc   class-IL=0.4079 task-IL=0.7368
       eval tcga_brca  class-IL=0.8646 task-IL=0.8646
    ── stage 3: tcga_lung
      epoch 1/5 n=777 mean_loss=0.6338
      epoch 2/5 n=777 mean_loss=0.4820
      epoch 3/5 n=777 mean_loss=0.3387
      epoch 4/5 n=777 mean_loss=0.4258
      epoch 5/5 n=777 mean_loss=0.3650
       eval tcga_esca  class-IL=0.4000 task-IL=0.4667
       eval tcga_rcc   class-IL=0.5263 task-IL=0.7895
       eval tcga_brca  class-IL=0.5625 task-IL=0.7396
       eval tcga_lung  class-IL=0.7634 task-IL=0.8602

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
