Exp2  arms=['A1']  order=main  seeds=[1]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=1
    ── stage 0: tcga_lung
      epoch 1/5 n=774 mean_loss=0.5786
      epoch 2/5 n=774 mean_loss=0.5359
      epoch 3/5 n=774 mean_loss=0.4856
      epoch 4/5 n=774 mean_loss=0.3551
      epoch 5/5 n=774 mean_loss=0.2731
       eval tcga_lung  class-IL=0.8842 task-IL=0.8842
    ── stage 1: tcga_brca
      epoch 1/5 n=763 mean_loss=0.5074
      epoch 2/5 n=763 mean_loss=0.4746
      epoch 3/5 n=763 mean_loss=0.4916
      epoch 4/5 n=763 mean_loss=0.3730
      epoch 5/5 n=763 mean_loss=0.3024
       eval tcga_lung  class-IL=0.1474 task-IL=0.7368
       eval tcga_brca  class-IL=0.9247 task-IL=0.9247
    ── stage 2: tcga_rcc
      epoch 1/5 n=616 mean_loss=0.2974
      epoch 2/5 n=616 mean_loss=0.3784
      epoch 3/5 n=616 mean_loss=0.3929
      epoch 4/5 n=616 mean_loss=0.5053
      epoch 5/5 n=616 mean_loss=0.4286
       eval tcga_lung  class-IL=0.2632 task-IL=0.7579
       eval tcga_brca  class-IL=0.4839 task-IL=0.8172
       eval tcga_rcc   class-IL=0.9474 task-IL=0.9474
    ── stage 3: tcga_esca
      epoch 1/5 n=120 mean_loss=1.5153
      epoch 2/5 n=120 mean_loss=0.4560
      epoch 3/5 n=120 mean_loss=0.2059
      epoch 4/5 n=120 mean_loss=0.2089
      epoch 5/5 n=120 mean_loss=0.5524
       eval tcga_lung  class-IL=0.4000 task-IL=0.6211
       eval tcga_brca  class-IL=0.6667 task-IL=0.8280
       eval tcga_rcc   class-IL=0.0526 task-IL=0.7632
       eval tcga_esca  class-IL=0.8000 task-IL=0.9333

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
