Exp2  arms=['A1']  order=main  seeds=[10]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=10
    ── stage 0: tcga_lung
      epoch 1/5 n=771 mean_loss=0.6211
      epoch 2/5 n=771 mean_loss=0.4269
      epoch 3/5 n=771 mean_loss=0.3951
      epoch 4/5 n=771 mean_loss=0.4939
      epoch 5/5 n=771 mean_loss=0.4038
       eval tcga_lung  class-IL=0.8667 task-IL=0.8667
    ── stage 1: tcga_brca
      epoch 1/5 n=763 mean_loss=0.4772
      epoch 2/5 n=763 mean_loss=0.3993
      epoch 3/5 n=763 mean_loss=0.4869
      epoch 4/5 n=763 mean_loss=0.3738
      epoch 5/5 n=763 mean_loss=0.3408
       eval tcga_lung  class-IL=0.1444 task-IL=0.7444
       eval tcga_brca  class-IL=0.9011 task-IL=0.9011
    ── stage 2: tcga_rcc
      epoch 1/5 n=618 mean_loss=0.6388
      epoch 2/5 n=618 mean_loss=0.2744
      epoch 3/5 n=618 mean_loss=0.3368
      epoch 4/5 n=618 mean_loss=0.2356
      epoch 5/5 n=618 mean_loss=0.3104
       eval tcga_lung  class-IL=0.1111 task-IL=0.6889
       eval tcga_brca  class-IL=0.3956 task-IL=0.6923
       eval tcga_rcc   class-IL=0.9595 task-IL=0.9595
    ── stage 3: tcga_esca
      epoch 1/5 n=121 mean_loss=1.9015
      epoch 2/5 n=121 mean_loss=0.4026
      epoch 3/5 n=121 mean_loss=0.3586
      epoch 4/5 n=121 mean_loss=0.3758
      epoch 5/5 n=121 mean_loss=0.3403
       eval tcga_lung  class-IL=0.1444 task-IL=0.5556
       eval tcga_brca  class-IL=0.4835 task-IL=0.9011
       eval tcga_rcc   class-IL=0.3649 task-IL=0.8108
       eval tcga_esca  class-IL=1.0000 task-IL=1.0000

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
