Exp2  arms=['A1']  order=main  seeds=[6]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=6
    ── stage 0: tcga_lung
      epoch 1/5 n=759 mean_loss=0.7133
      epoch 2/5 n=759 mean_loss=0.5135
      epoch 3/5 n=759 mean_loss=0.3781
      epoch 4/5 n=759 mean_loss=0.3453
      epoch 5/5 n=759 mean_loss=0.3674
       eval tcga_lung  class-IL=0.9091 task-IL=0.9091
    ── stage 1: tcga_brca
      epoch 1/5 n=758 mean_loss=0.5367
      epoch 2/5 n=758 mean_loss=0.3954
      epoch 3/5 n=758 mean_loss=0.3312
      epoch 4/5 n=758 mean_loss=0.3161
      epoch 5/5 n=758 mean_loss=0.3268
       eval tcga_lung  class-IL=0.3750 task-IL=0.8295
       eval tcga_brca  class-IL=0.8878 task-IL=0.8878
    ── stage 2: tcga_rcc
      epoch 1/5 n=616 mean_loss=0.6809
      epoch 2/5 n=616 mean_loss=0.3051
      epoch 3/5 n=616 mean_loss=0.4070
      epoch 4/5 n=616 mean_loss=0.4152
      epoch 5/5 n=616 mean_loss=0.3295
       eval tcga_lung  class-IL=0.2500 task-IL=0.7955
       eval tcga_brca  class-IL=0.7041 task-IL=0.8776
       eval tcga_rcc   class-IL=0.9610 task-IL=0.9610
    ── stage 3: tcga_esca
      epoch 1/5 n=119 mean_loss=1.5333
      epoch 2/5 n=119 mean_loss=0.3911
      epoch 3/5 n=119 mean_loss=0.5495
      epoch 4/5 n=119 mean_loss=0.5604
      epoch 5/5 n=119 mean_loss=0.2483
       eval tcga_lung  class-IL=0.1932 task-IL=0.6364
       eval tcga_brca  class-IL=0.4796 task-IL=0.7143
       eval tcga_rcc   class-IL=0.1948 task-IL=0.4675
       eval tcga_esca  class-IL=0.8125 task-IL=1.0000

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
