Exp2  arms=['A1']  order=reverse  seeds=[9]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=9
    ── stage 0: tcga_esca
      epoch 1/5 n=121 mean_loss=0.5399
      epoch 2/5 n=121 mean_loss=0.2175
      epoch 3/5 n=121 mean_loss=0.2964
      epoch 4/5 n=121 mean_loss=0.3346
      epoch 5/5 n=121 mean_loss=0.1755
       eval tcga_esca  class-IL=0.9286 task-IL=1.0000
    ── stage 1: tcga_rcc
      epoch 1/5 n=612 mean_loss=0.3014
      epoch 2/5 n=612 mean_loss=0.3516
      epoch 3/5 n=612 mean_loss=0.3773
      epoch 4/5 n=612 mean_loss=0.2653
      epoch 5/5 n=612 mean_loss=0.3824
       eval tcga_esca  class-IL=0.1429 task-IL=0.4286
       eval tcga_rcc   class-IL=0.8642 task-IL=0.8765
    ── stage 2: tcga_brca
      epoch 1/5 n=760 mean_loss=0.5678
      epoch 2/5 n=760 mean_loss=0.4613
      epoch 3/5 n=760 mean_loss=0.3763
      epoch 4/5 n=760 mean_loss=0.3862
      epoch 5/5 n=760 mean_loss=0.4167
       eval tcga_esca  class-IL=0.0714 task-IL=0.5714
       eval tcga_rcc   class-IL=0.0864 task-IL=0.7654
       eval tcga_brca  class-IL=0.8384 task-IL=0.8384
    ── stage 3: tcga_lung
      epoch 1/5 n=762 mean_loss=0.8377
      epoch 2/5 n=762 mean_loss=0.5224
      epoch 3/5 n=762 mean_loss=0.4814
      epoch 4/5 n=762 mean_loss=0.4357
      epoch 5/5 n=762 mean_loss=0.3519
       eval tcga_esca  class-IL=0.1429 task-IL=0.9286
       eval tcga_rcc   class-IL=0.4321 task-IL=0.8395
       eval tcga_brca  class-IL=0.2929 task-IL=0.5758
       eval tcga_lung  class-IL=0.8478 task-IL=0.8587

→ /Users/aaron/research/02_pathselect/outputs/exp2/sota/EXP2.md
