Exp2  arms=['A1']  order=reverse  seeds=[6]  B=8 c=1 epochs=5 arch=flat alloc=per_budget prior=discriminative head=accumulating beta_u=0.1 replay_k=1 λ=(1.0,1.0,1.0)
  ▶ A1 (SeqFT) seed=6
    ── stage 0: tcga_esca
      epoch 1/5 n=119 mean_loss=0.2319
      epoch 2/5 n=119 mean_loss=0.0525
      epoch 3/5 n=119 mean_loss=0.0729
      epoch 4/5 n=119 mean_loss=0.2426
      epoch 5/5 n=119 mean_loss=0.2282
       eval tcga_esca  class-IL=0.8750 task-IL=0.8750
    ── stage 1: tcga_rcc
      epoch 1/5 n=616 mean_loss=0.3707
      epoch 2/5 n=616 mean_loss=0.3683
      epoch 3/5 n=616 mean_loss=0.4151
      epoch 4/5 n=616 mean_loss=0.2943
      epoch 5/5 n=616 mean_loss=0.3151
       eval tcga_esca  class-IL=0.3750 task-IL=0.3750
       eval tcga_rcc   class-IL=0.9740 task-IL=0.9740
    ── stage 2: tcga_brca
      epoch 1/5 n=758 mean_loss=0.5048
      epoch 2/5 n=758 mean_loss=0.3828
      epoch 3/5 n=758 mean_loss=0.3816
      epoch 4/5 n=758 mean_loss=0.2987
      epoch 5/5 n=758 mean_loss=0.3411
       eval tcga_esca  class-IL=0.3750 task-IL=0.8125
       eval tcga_rcc   class-IL=0.0779 task-IL=0.7922
       eval tcga_brca  class-IL=0.9286 task-IL=0.9286
    ── stage 3: tcga_lung
      epoch 1/5 n=759 mean_loss=0.7875
      epoch 2/5 n=759 mean_loss=0.7216
      epoch 3/5 n=759 mean_loss=0.4712
      epoch 4/5 n=759 mean_loss=0.4514
      epoch 5/5 n=759 mean_loss=0.3706
       eval tcga_esca  class-IL=0.1250 task-IL=0.6250
       eval tcga_rcc   class-IL=0.3636 task-IL=0.8571
       eval tcga_brca  class-IL=0.4898 task-IL=0.8776
       eval tcga_lung  class-IL=0.9545 task-IL=0.9545

→ outputs/exp3/sota_acc/EXP2.md
